SeedlingID,Height,Width,Intersect,Plant_Area,Image_ID_Portrait,Processed_Image_ID_Portrait,Date,Project,Depth,Plant_ellipsoid,Image_ID_Overview,Processed_Image_ID_Overview
557,6.3,2,3.5,6.3,DSC_0191.JPG,Processed_DSC_0191.JPG,10/17/19,HF,NA,NA,NA,NA
496,4.2,1.7,3.4,3.57,DSC_0191.JPG,Processed_DSC_0191.JPG,10/17/19,HF,NA,NA,NA,NA
850,3,1,0,1.5,DSC_0191.JPG,Processed_DSC_0191.JPG,10/17/19,HF,NA,NA,NA,NA
626,6.1,3.1,4.7,9.455,DSC_0191.JPG,Processed_DSC_0191.JPG,10/17/19,HF,NA,NA,NA,NA
1026,5.6,3.1,4,8.68,DSC_0192.JPG,Processed_DSC_0192.JPG,10/17/19,HF,NA,NA,NA,NA
672,5,2.7,4.3,6.75,DSC_0192.JPG,Processed_DSC_0192.JPG,10/17/19,HF,NA,NA,NA,NA
820,6.4,4,4.3,12.8,DSC_0192.JPG,Processed_DSC_0192.JPG,10/17/19,HF,NA,NA,NA,NA
440,9.3,3.9,7.1,18.135,DSC_0192.JPG,Processed_DSC_0192.JPG,10/17/19,HF,NA,NA,NA,NA
865,7.4,2.4,5.4,8.88,DSC_0192.JPG,Processed_DSC_0192.JPG,10/17/19,HF,NA,NA,NA,NA
1087,3,2.4,3,3.6,DSC_0193.JPG,Processed_DSC_0193.JPG,10/17/19,HF,NA,NA,NA,NA
447,7.6,2.8,6.9,10.64,DSC_0193.JPG,Processed_DSC_0193.JPG,10/17/19,HF,NA,NA,NA,NA
89,4.1,3.6,2.8,7.38,DSC_0193.JPG,Processed_DSC_0193.JPG,10/17/19,HF,NA,NA,NA,NA
1129,4.2,2.4,3.8,5.04,DSC_0193.JPG,Processed_DSC_0193.JPG,10/17/19,HF,NA,NA,NA,NA
364,2.8,3.4,2.3,4.76,DSC_0193.JPG,Processed_DSC_0193.JPG,10/17/19,HF,NA,NA,NA,NA
221,3.5,3.2,2.4,5.6,DSC_0194.JPG,Processed_DSC_0194.JPG,10/17/19,HF,NA,NA,NA,NA
55,4.9,3,4.3,7.35,DSC_0194.JPG,Processed_DSC_0194.JPG,10/17/19,HF,NA,NA,NA,NA
566,7.2,2.7,5,9.72,DSC_0194.JPG,Processed_DSC_0194.JPG,10/17/19,HF,NA,NA,NA,NA
340,4.6,3.1,3.2,7.13,DSC_0194.JPG,Processed_DSC_0194.JPG,10/17/19,HF,NA,NA,NA,NA
377,4.4,1.8,3.7,3.96,DSC_0194.JPG,Processed_DSC_0194.JPG,10/17/19,HF,NA,NA,NA,NA
460,6.8,2.1,4.5,7.14,DSC_0195.JPG,Processed_DSC_0195.JPG,10/17/19,HF,NA,NA,NA,NA
151,5.8,4.3,4.8,12.47,DSC_0195.JPG,Processed_DSC_0195.JPG,10/17/19,HF,NA,NA,NA,NA
392,2.9,2.5,2.5,3.625,DSC_0195.JPG,Processed_DSC_0195.JPG,10/17/19,HF,NA,NA,NA,NA
327,3.9,2.9,2.7,5.655,DSC_0195.JPG,Processed_DSC_0195.JPG,10/17/19,HF,NA,NA,NA,NA
844,4.5,2,0,4.5,DSC_0195.JPG,Processed_DSC_0195.JPG,10/17/19,HF,NA,NA,NA,NA
481,3.3,1.9,3,3.135,DSC_0196.JPG,Processed_DSC_0196.JPG,10/17/19,HF,NA,NA,NA,NA
663,5,4,4,10,DSC_0196.JPG,Processed_DSC_0196.JPG,10/17/19,HF,NA,NA,NA,NA
957,4.1,1.9,3,3.895,DSC_0196.JPG,Processed_DSC_0196.JPG,10/17/19,HF,NA,NA,NA,NA
5,6.3,3.5,4.5,11.025,DSC_0196.JPG,Processed_DSC_0196.JPG,10/17/19,HF,NA,NA,NA,NA
282,3.2,3.7,2.2,5.92,DSC_0196.JPG,Processed_DSC_0196.JPG,10/17/19,HF,NA,NA,NA,NA
587,4.3,2.1,3.4,4.515,DSC_0197.JPG,Processed_DSC_0197.JPG,10/17/19,HF,NA,NA,NA,NA
301,3,0.5,0,0.75,DSC_0197.JPG,Processed_DSC_0197.JPG,10/17/19,HF,NA,NA,NA,NA
919,6.7,3.2,5.5,10.72,DSC_0197.JPG,Processed_DSC_0197.JPG,10/17/19,HF,NA,NA,NA,NA
267,4.5,3.1,3.6,6.975,DSC_0197.JPG,Processed_DSC_0197.JPG,10/17/19,HF,NA,NA,NA,NA
195,3.6,2.3,2.9,4.14,DSC_0197.JPG,Processed_DSC_0197.JPG,10/17/19,HF,NA,NA,NA,NA
